mm,RUL
-2.781921038,9860
-2.052884036,9859
-0.294375027,9858
-1.142994033,9857
0.314682409,9856
2.342016611,9855
1.033390735,9854
1.700962105,9853
2.51089834,9852
0.057626404,9851
-0.08997184,9850
0.21560883,9849
-2.055431883,9848
-1.699567342,9847
-0.510834117,9846
-1.805599836,9845
-0.611399774,9844
1.124577232,9843
-0.167655538,9842
0.768402427,9841
1.861123433,9840
-0.071302198,9839
0.331157621,9838
1.052675945,9837
-0.897216908,9836
-0.457264132,9835
0.628735655,9834
-0.938342845,9833
-0.216262505,9832
0.91983373,9831
-0.792850882,9830
-0.293219598,9829
0.618017516,9828
-1.314699647,9827
-0.747737374,9826
0.337824958,9825
-1.106054049,9824
0.023398434,9823
1.483994973,9822
0.145999045,9821
1.155200729,9820
2.134004145,9819
0.090912917,9818
0.187886989,9817
0.469404961,9816
-1.949634181,9815
-1.688472569,9814
-0.790084072,9813
-2.350638579,9812
-1.005385753,9811
0.781715919,9810
-0.079790285,9809
1.427888681,9808
2.807859842,9807
1.056970367,9806
1.46184723,9805
1.626704547,9804
-1.044551453,9803
-1.119912109,9802
-0.822133363,9801
-2.742586412,9800
-1.843840027,9799
-0.33754635,9798
-1.246397759,9797
0.370170411,9796
2.043833971,9795
0.672323134,9794
1.562535933,9793
2.175306251,9792
-0.152541803,9791
0.050439976,9790
0.361288612,9789
-1.797856494,9788
-1.111146164,9787
-0.117292181,9786
-1.56530558,9785
-0.262139656,9784
0.889999306,9783
-0.537215391,9782
0.423830563,9781
1.217110579,9780
-0.596866246,9779
0.150961509,9778
0.906900266,9777
-0.902837145,9776
0.116182467,9775
1.111541408,9774
-0.411163616,9773
0.525706112,9772
1.222446637,9771
-0.854585726,9770
-0.317863019,9769
0.08180389,9768
-1.930653099,9767
-1.064281087,9766
-0.098593493,9765
-1.408558846,9764
0.135075377,9763
1.602947919,9762
0.446269916,9761
1.685626052,9760
2.414803926,9759
0.223819069,9758
0.547331424,9757
0.432024745,9756
-2.060874337,9755
-1.635213961,9754
-1.135035212,9753
-2.650799647,9752
-0.99655297,9751
0.623977834,9750
-0.18535154,9749
1.562047483,9748
2.746279866,9747
1.050341969,9746
1.64574437,9745
1.616802518,9744
-0.976538246,9743
-0.793410184,9742
-0.668622389,9741
-2.671491939,9740
-1.365690008,9739
-0.300252198,9738
-1.293347805,9737
0.38959395,9736
1.640678452,9735
0.191796397,9734
1.303375048,9733
1.74718057,9732
-0.341660363,9731
0.29559533,9730
0.481663833,9729
-1.412185004,9728
-0.356093512,9727
0.362369562,9726
-1.17911593,9725
0.071892915,9724
0.767743878,9723
-0.91139632,9722
0.109203016,9721
0.511024513,9720
-1.304469358,9719
-0.140310159,9718
0.586258213,9717
-0.819630781,9716
0.699706144,9715
1.576159938,9714
-0.000564291,9713
1.195276043,9712
1.456872477,9711
-0.809336977,9710
-0.189321999,9709
-0.345023385,9708
-2.402345718,9707
-1.373324405,9706
-0.584613124,9705
-1.75338068,9704
0.293854822,9703
1.570566605,9702
0.607653058,9701
2.152584599,9700
2.536631676,9699
0.452157353,9698
0.866677362,9697
0.36894001,9696
-2.143010623,9695
-1.492644976,9694
-1.248556183,9693
-2.671413603,9692
-0.836757645,9691
0.371213312,9690
-0.339234982,9689
1.55617759,9688
2.444128601,9687
0.727134918,9686
1.680468451,9685
1.444014098,9684
-0.948744288,9683
-0.348176375,9682
-0.467550048,9681
-2.26646687,9680
-0.833147157,9679
-0.179087813,9678
-1.308379068,9677
0.446478797,9676
1.198433891,9675
-0.329259141,9674
0.955618348,9673
1.116446064,9672
-0.756337028,9671
0.424855771,9670
0.564409842,9669
-1.070645555,9668
0.387423926,9667
0.822849683,9666
-0.77481996,9665
0.476430248,9664
0.68694087,9663
-1.274543225,9662
-0.204867686,9661
-0.200928697,9660
-1.872040543,9659
-0.335885146,9658
0.312722618,9657
-0.866966484,9656
1.087487489,9655
1.805512891,9654
0.473383188,9653
1.746369436,9652
1.561399834,9651
-0.651243482,9650
-0.122524533,9649
-0.610743236,9648
-2.682819953,9647
-1.423714737,9646
-1.026207342,9645
-1.939427286,9644
0.325549499,9643
1.453032298,9642
0.633634003,9641
2.341717322,9640
2.537385058,9639
0.404969616,9638
1.096239348,9637
0.373048482,9636
-2.109157641,9635
-1.213034528,9634
-1.227448066,9633
-2.588165558,9632
-0.645048225,9631
0.212667606,9630
-0.547027304,9629
1.507580942,9628
1.968344898,9627
0.339849132,9626
1.558719564,9625
1.098958605,9624
-0.943871511,9623
-0.015466273,9622
-0.175354717,9621
-1.85745517,9620
-0.228404146,9619
0.052623109,9618
-1.148817446,9617
0.477761871,9616
0.712873208,9615
-0.899281627,9614
0.538513698,9613
0.470060688,9612
-1.067711707,9611
0.446157764,9610
0.614221575,9609
-0.659383739,9608
1.11333246,9607
1.214882473,9606
-0.315641398,9605
0.997520236,9604
0.504356135,9603
-1.439118776,9602
-0.460158653,9601
-0.756892938,9600
-2.314618409,9599
-0.60560638,9598
-0.059047924,9597
-0.885187207,9596
1.388213171,9595
1.999262962,9594
0.831268098,9593
2.203622649,9592
1.693978073,9591
-0.621412289,9590
0.009938782,9589
-0.879585025,9588
-2.888116503,9587
-1.451323222,9586
-1.238944156,9585
-1.973618755,9584
0.383942591,9583
1.219570089,9582
0.47875665,9581
2.467456403,9580
2.211340855,9579
0.360701015,9578
1.21525678,9577
0.309350682,9576
-1.867252346,9575
-0.817764419,9574
-1.101758368,9573
-2.355757427,9572
-0.310082264,9571
0.075425012,9570
-0.751022846,9569
1.307402754,9568
1.303598173,9567
-0.060589439,9566
1.263606341,9565
0.795004185,9564
-0.961338233,9563
0.446134272,9562
0.084518887,9561
-1.249198134,9560
0.48273657,9559
0.336469151,9558
-0.990763219,9557
0.559776292,9556
0.171728104,9555
-1.309062666,9554
0.070147144,9553
-0.219625804,9552
-1.49455446,9551
0.38318366,9550
0.588038302,9549
-0.2553978,9548
1.689912818,9547
1.55402655,9546
0.200429438,9545
1.446443908,9544
0.515789498,9543
-1.572928737,9542
-0.61273828,9541
-1.297654234,9540
-2.721282215,9539
-0.792752415,9538
-0.396555132,9537
-0.8915314,9536
1.596751923,9535
1.958689094,9534
1.027185591,9533
2.524012576,9532
1.636307387,9531
-0.471235818,9530
0.240552227,9529
-0.898216154,9528
-2.724459884,9527
-1.213864646,9526
-1.344883813,9525
-1.963987173,9524
0.468071128,9523
0.883467991,9522
0.300845229,9521
2.332346183,9520
1.816736467,9519
0.242468161,9518
1.320351138,9517
0.226078042,9516
-1.584794302,9515
-0.282559847,9514
-0.803360775,9513
-1.847187638,9512
0.122952347,9511
0.040525821,9510
-0.789391751,9509
1.071298209,9508
0.625600448,9507
-0.632793046,9506
0.871789126,9505
0.257050421,9504
-1.003791184,9503
0.746829032,9502
0.401759089,9501
-0.664194832,9500
1.240654959,9499
0.674375113,9498
-0.626532421,9497
0.764250967,9496
-0.265481827,9495
-1.741358122,9494
-0.333732801,9493
-0.934136671,9492
-1.805135708,9491
0.337804254,9490
0.445428968,9489
-0.056962759,9488
2.238253501,9487
1.85906569,9486
0.587235539,9485
1.778606791,9484
0.432540726,9483
-1.589461398,9482
-0.613305639,9481
-1.70112474,9480
-2.846274528,9479
-0.846794813,9478
-0.692927194,9477
-0.881208487,9476
1.662047745,9475
1.78355601,9474
1.049146673,9473
2.654597193,9472
1.488030355,9471
-0.390118878,9470
0.448930876,9469
-0.936942322,9468
-2.457122902,9467
-0.906986992,9466
-1.286096499,9465
-1.83465779,9464
0.575555109,9463
0.592566919,9462
-0.026386703,9461
1.973304828,9460
1.21278427,9459
-0.016515364,9458
1.261039874,9457
0.059365157,9456
-1.251633335,9455
0.335751291,9454
-0.485558809,9453
-1.313282244,9452
0.56285317,9451
0.03476931,9450
-0.928524929,9449
0.835915918,9448
-0.03433159,9447
-1.155168577,9446
0.445637903,9445
-0.232049787,9444
-1.023963785,9443
1.046800145,9442
0.61495851,9441
-0.035309116,9440
1.872993638,9439
0.925681653,9438
-0.343662003,9437
0.903664898,9436
-0.607199796,9435
-2.063535506,9434
-0.70755862,9433
-1.476343104,9432
-2.092066715,9431
0.239100815,9430
0.272751654,9429
0.155487022,9428
2.504397613,9427
1.877499495,9426
0.925675155,9425
2.048910056,9424
0.336417596,9423
-1.428524379,9422
-0.544460284,9421
-1.8985039,9420
-2.797884932,9419
-0.790951478,9418
-0.994299866,9417
-0.876611995,9416
1.703348671,9415
1.377709817,9414
0.95621018,9413
2.576971671,9412
1.242718624,9411
-0.251138631,9410
0.728971008,9409
-0.860862412,9408
-2.006986687,9407
-0.430473356,9406
-1.207674243,9405
-1.504554709,9404
0.705256833,9403
0.163104903,9402
-0.253524862,9401
1.57741274,9400
0.532699539,9399
-0.431148788,9398
1.143558134,9397
-0.110112703,9396
-0.867858555,9395
0.870263959,9394
-0.040631228,9393
-0.642135996,9392
1.154031509,9391
0.070615783,9390
-0.907203656,9389
0.61307637,9388
-0.767282182,9387
-1.62337699,9386
0.080938516,9385
-0.799203095,9384
-1.002594414,9383
1.272373202,9382
0.723357155,9381
0.52443719,9380
2.389350064,9379
1.178484855,9378
-0.004958123,9377
1.070929216,9376
-0.828539385,9375
-2.128419774,9374
-0.899289573,9373
-1.966472571,9372
-2.224810994,9371
0.184327402,9370
0.014114838,9369
0.244787289,9368
2.696752663,9367
1.866253109,9366
1.058285682,9365
2.218535953,9364
0.246797515,9363
-1.268147727,9362
-0.271645975,9361
-1.939598237,9360
-2.542016857,9359
-0.537782543,9358
-1.136752278,9357
-0.845939944,9356
1.60104873,9355
0.931112806,9354
0.643680353,9353
2.310163423,9352
0.735451608,9351
-0.276712232,9350
0.902716719,9349
-0.783826827,9348
-1.528996696,9347
0.138059259,9346
-0.873675576,9345
-1.078492394,9344
0.831214781,9343
-0.186385793,9342
-0.587069844,9341
1.078936627,9340
-0.218796661,9339
-0.782151976,9338
0.867893157,9337
-0.301244824,9336
-0.523330817,9335
1.409178652,9334
0.396719233,9333
0.020580956,9332
1.65359267,9331
0.140908971,9330
-0.72214833,9329
0.403913229,9328
-1.365526973,9327
-2.045974263,9326
-0.373660326,9325
-1.321379814,9324
-1.040595451,9323
1.346413459,9322
0.761529569,9321
0.921735122,9320
2.757219983,9319
1.315985366,9318
0.398431275,9317
1.225494739,9316
-1.050567665,9315
-2.129663946,9314
-0.897090775,9313
-2.227866895,9312
-2.208360244,9311
0.18735608,9310
-0.224694714,9309
0.279292895,9308
2.606692041,9307
1.576156598,9306
1.05132913,9305
2.251484608,9304
0.137308332,9303
-0.995190587,9302
-0.065312356,9301
-1.752232811,9300
-2.118618656,9299
-0.31037288,9298
-1.123522243,9297
-0.811603972,9296
1.41264902,9295
0.383312961,9294
0.311211434,9293
1.877309242,9292
0.261813711,9291
-0.376413924,9290
0.993372075,9289
-0.591109547,9288
-0.917453739,9287
0.812501702,9286
-0.482011127,9285
-0.570396172,9284
1.033499981,9283
-0.413982996,9282
-0.808323516,9281
0.590392586,9280
-1.002066866,9279
-1.201065887,9278
0.588551493,9277
-0.515324014,9276
-0.252381425,9275
1.8300744,9274
0.706331203,9273
0.718601852,9272
2.058191746,9271
0.255029111,9270
-0.56159162,9269
0.252917136,9268
-1.839190182,9267
-2.234103372,9266
-0.725127124,9265
-1.739387112,9264
-1.134362427,9263
1.300627641,9262
0.713391023,9261
1.233661225,9260
2.988063893,9259
1.274119693,9258
0.610383362,9257
1.347099337,9256
-1.129373016,9255
-1.907478229,9254
-0.866229754,9253
-2.394685915,9252
-2.064632497,9251
0.202383472,9250
-0.514469317,9249
0.295039532,9248
2.336483925,9247
1.132360325,9246
0.942047712,9245
2.040211859,9244
-0.057574078,9243
-0.681129888,9242
0.286984004,9241
-1.511863399,9240
-1.548529469,9239
0.151797288,9238
-1.019157914,9237
-0.650209751,9236
1.170240192,9235
-0.150163458,9234
-0.049607762,9233
1.269476192,9232
-0.342476839,9231
-0.480388415,9230
1.009521163,9229
-0.426785917,9228
-0.194625405,9227
1.37590757,9226
-0.095115221,9225
0.031974506,9224
1.1834076,9223
-0.701411224,9222
-0.943532589,9221
0.101443997,9220
-1.689118423,9219
-1.567956491,9218
0.194889986,9217
-0.867117337,9216
-0.024530243,9215
2.043202667,9214
0.915510179,9213
1.289707114,9212
2.480979738,9211
0.293283455,9210
-0.329228905,9209
0.17234514,9208
-2.147658207,9207
-2.319058219,9206
-0.901060864,9205
-2.057331268,9204
-1.104652784,9203
1.238720377,9202
0.48037062,9201
1.303270282,9200
2.98546406,9199
1.159370751,9198
0.774564786,9197
1.387761983,9196
-1.073155912,9195
-1.635837819,9194
-0.606029304,9193
-2.308160856,9192
-1.691524362,9191
0.275212115,9190
-0.706444287,9189
0.23800798,9188
1.9578752,9187
0.534623202,9186
0.68606688,9185
1.691165687,9184
-0.307054881,9183
-0.425135223,9182
0.620435807,9181
-1.215876321,9180
-0.773526577,9179
0.632993694,9178
-0.808880561,9177
-0.394659533,9176
0.95105179,9175
-0.704901469,9174
-0.470021219,9173
0.675215198,9172
-1.006778278,9171
-0.61711058,9170
0.951636916,9169
-0.3886848,9168
0.403032942,9167
1.93022426,9166
0.368905075,9165
0.566847329,9164
1.395847549,9163
-0.862923353,9162
-1.068872121,9161
-0.304177237,9160
-2.296586531,9159
-1.744466688,9158
-0.072510222,9157
-1.076148652,9156
0.156897757,9155
2.215419984,9154
1.00411944,9153
1.66724287,9152
2.664739534,9151
0.267379276,9150
-0.13764365,9149
0.202306505,9148
-2.234382226,9147
-2.212860695,9146
-0.927030545,9145
-2.188964912,9144
-0.977637088,9143
1.062961046,9142
0.277844203,9141
1.366444232,9140
2.699093136,9139
0.819748409,9138
0.890110751,9137
1.341365535,9136
-1.058027081,9135
-1.176420413,9134
-0.353209233,9133
-2.01544682,9132
-1.242125938,9131
0.365396276,9130
-0.876749362,9129
0.124198758,9128
1.514269486,9127
-0.102255625,9126
0.422821917,9125
1.329665176,9124
-0.667237379,9123
-0.197214242,9122
0.881187485,9121
-0.73073459,9120
-0.093217962,9119
1.106678219,9118
-0.549499933,9117
-0.06585657,9116
0.854076562,9115
-1.19759992,9114
-0.882348553,9113
0.028567607,9112
-1.645869439,9111
-0.760190559,9110
0.77151304,9109
-0.317222252,9108
0.886834595,9107
2.297578563,9106
0.646128066,9105
1.104487231,9104
1.6077644,9103
-0.870292289,9102
-1.016386025,9101
-0.651321162,9100
-2.697886992,9099
-1.898568882,9098
-0.401215541,9097
-1.321330632,9096
0.283311925,9095
2.179868988,9094
0.999142008,9093
1.870893655,9092
2.594882453,9091
0.311991835,9090
0.183114148,9089
0.27058931,9088
-2.230105172,9087
-1.824760046,9086
-0.9115062,9085
-2.241658686,9084
-0.783122694,9083
0.919097331,9082
-0.098540201,9081
1.224842158,9080
2.329799863,9079
0.369426779,9078
0.809015531,9077
1.173797463,9076
-1.049245651,9075
-0.585681815,9074
0.050074074,9073
-1.573572808,9072
-0.637419749,9071
0.603729672,9070
-0.867233118,9069
0.108877883,9068
1.030317948,9067
-0.743659407,9066
0.005413344,9065
0.751037589,9064
-0.971015181,9063
-0.030266497,9062
1.096393883,9061
-0.342149878,9060
0.684683621,9059
1.648570684,9058
-0.271266644,9057
0.295130885,9056
0.712740023,9055
-1.625658131,9054
-1.175656001,9053
-0.522858577,9052
-2.170917861,9051
-0.815860864,9050
0.626441702,9049
-0.339142327,9048
1.273325789,9047
2.508212884,9046
0.875942434,9045
1.543006581,9044
1.706122853,9043
-0.925264435,9042
-0.829538123,9041
-0.733867033,9040
-2.855560931,9039
-1.825361128,9038
-0.596531875,9037
-1.556928131,9036
0.39568105,9035
1.992400295,9034
0.765776444,9033
2.026626471,9032
2.476674609,9031
0.175341762,9030
0.381977206,9029
0.308283808,9028
-2.050589691,9027
-1.414785444,9026
-0.669893551,9025
-2.076940967,9024
-0.469679907,9023
0.818475646,9022
-0.433544487,9021
0.993348198,9020
1.71601298,9019
-0.164888774,9018
0.676394699,9017
0.959790723,9016
-0.982680753,9015
-0.048099526,9014
0.565195377,9013
-1.120549959,9012
0.068362616,9011
0.842835671,9010
-0.927046784,9009
0.076876941,9008
0.472970404,9007
-1.37497392,9006
-0.446451972,9005
0.136967729,9004
-1.313510262,9003
0.114798815,9002
1.20035982,9001
-0.087481313,9000
1.358883625,8999
2.021129903,8998
0.057849594,8997
0.650668906,8996
0.582596482,8995
-1.812163159,8994
-1.253051184,8993
-1.0140241,8992
-2.544145576,8991
-0.951040125,8990
0.405277406,8989
-0.471934424,8988
1.567969655,8987
2.603409482,8986
1.062370237,8985
1.862439139,8984
1.661337871,8983
-0.929287738,8982
-0.623608097,8981
-0.821908433,8980
-2.906057776,8979
-1.605533164,8978
-0.623269614,8977
-1.646962096,8976
0.476691531,8975
1.627495183,8974
0.540339475,8973
1.90007141,8972
2.097423436,8971
-0.005312139,8970
0.527862742,8969
0.362247009,8968
-1.750770557,8967
-0.763196434,8966
-0.276353145,8965
-1.701575835,8964
-0.129876301,8963
0.60034986,8962
-0.710201087,8961
0.671035071,8960
1.007580496,8959
-0.694754348,8958
0.383527652,8957
0.655891714,8956
-0.934848351,8955
0.408534079,8954
0.905738791,8953
-0.596120704,8952
0.825098486,8951
1.073118496,8950
-0.840168642,8949
0.135886123,8948
-0.022795771,8947
-1.968637764,8946
-0.767233167,8945
-0.413627843,8944
-1.631169258,8943
0.208920389,8942
1.231084363,8941
0.199977464,8940
1.900224346,8939
2.23520573,8938
0.324194314,8937
1.014984025,8936
0.42740666,8935
-1.971332226,8934
-1.257126244,8933
-1.328207266,8932
-2.791032011,8931
-0.954769608,8930
0.120563781,8929
-0.483790213,8928
1.633350231,8927
2.426131679,8926
0.931165583,8925
1.998465553,8924
1.645080933,8923
-0.802827016,8922
-0.263391516,8921
-0.766684233,8920
-2.632331635,8919
-1.199554516,8918
-0.58938157,8917
-1.556578566,8916
0.48679773,8915
1.260585664,8914
0.09977729,8913
1.58246734,8912
1.61585897,8911
-0.364092494,8910
0.693463201,8909
0.431626935,8908
-1.45177827,8907
-0.047049274,8906
0.055738415,8905
-1.251189607,8904
0.319088533,8903
0.522936484,8902
-0.961674052,8901
0.32867393,8900
0.304846043,8899
-1.357516306,8898
0.159643487,8897
0.257108904,8896
-0.927005505,8895
0.836220587,8894
1.310336271,8893
0.025609319,8892
1.510285351,8891
1.340653562,8890
-0.691275662,8889
0.174976572,8888
-0.347127017,8887
-2.338283447,8886
-1.106001867,8885
-0.923994656,8884
-1.895989972,8883
0.329921725,8882
1.158429943,8881
0.386778063,8880
2.30209443,8879
2.383925416,8878
0.498602232,8877
1.355901534,8876
0.354248372,8875
-1.999380052,8874
-1.119599672,8873
-1.492929794,8872
-2.812534687,8871
-0.801993033,8870
-0.087444739,8869
-0.642699874,8868
1.711369887,8867
2.053072034,8866
0.716350205,8865
2.041267137,8864
1.357543895,8863
-0.751534317,8862
0.019158253,8861
-0.546621279,8860
-2.274220086,8859
-0.707657822,8858
-0.449389731,8857
-1.48590501,8856
0.588595122,8855
0.865471302,8854
-0.415432494,8853
1.183253915,8852
0.945234516,8851
-0.747568536,8850
0.64195787,8849
0.344062233,8848
-1.071990276,8847
0.663433039,8846
0.590870834,8845
-0.773325425,8844
0.802394888,8843
0.481785731,8842
-1.184274379,8841
0.094670711,8840
-0.342234342,8839
-1.855810155,8838
-0.21504297,8837
-0.067658478,8836
-0.998053895,8835
1.215257041,8834
1.538092723,8833
0.459523922,8832
2.121546783,8831
1.495507932,8830
-0.493634244,8829
0.33854973,8828
-0.739205143,8827
-2.656167461,8826
-1.213924443,8825
-1.337815677,8824
-2.126847505,8823
0.307761377,8822
0.953552055,8821
0.435702718,8820
2.578198478,8819
2.339110494,8818
0.580430304,8817
1.58798914,8816
0.289353869,8815
-1.830622444,8814
-0.82177344,8813
-1.461636884,8812
-2.66522491,8811
-0.619811705,8810
-0.250035724,8809
-0.740458938,8808
1.557246762,8807
1.565236826,8806
0.405262691,8805
1.902542525,8804
1.037464159,8803
-0.787460459,8802
0.345051208,8801
-0.333932849,8800
-1.713920009,8799
-0.046021536,8798
-0.202361404,8797
-1.228879699,8796
0.694638245,8795
0.391011855,8794
-0.783743653,8793
0.737482522,8792
0.216370346,8791
-1.100932532,8790
0.58303886,8789
0.312442634,8788
-0.673760597,8787
1.280710291,8786
1.002181176,8785
-0.215300198,8784
1.266724495,8783
0.470088933,8782
-1.323238712,8781
-0.135664063,8780
-1.032882125,8779
-2.336413142,8778
-0.501795671,8777
-0.489772789,8776
-1.027588966,8775
1.449820688,8774
1.557753394,8773
0.834783071,8772
2.50826932,8771
1.593351945,8770
-0.282767405,8769
0.526735584,8768
-0.917331735,8767
-2.667792851,8766
-1.262114797,8765
-1.639545679,8764
-2.136233383,8763
0.382257477,8762
0.722113817,8761
0.353085076,8760
2.557298732,8759
2.0252048,8758
0.639257533,8757
1.613308887,8756
0.266093117,8755
-1.604806958,8754
-0.423171113,8753
-1.362685204,8752
-2.350125228,8751
-0.225431916,8750
-0.313508992,8749
-0.839987003,8748
1.40543825,8747
0.95645592,8746
-0.00716917,8745
1.566483554,8744
0.608180547,8743
-0.763842353,8742
0.647477315,8741
-0.095242605,8740
-1.148010003,8739
0.633561494,8738
0.085431567,8737
-0.857683212,8736
0.860952387,8735
-0.020796103,8734
-1.209284272,8733
0.338794057,8732
-0.516548733,8731
-1.460211322,8730
0.504815692,8729
0.173041897,8728
-0.293705972,8727
1.822969629,8726
1.290983975,8725
0.342827223,8724
1.766870333,8723
0.393981421,8722
-1.272933268,8721
-0.229864488,8720
-1.479473926,8719
-2.598870195,8718
-0.733630915,8717
-0.903692062,8716
-1.022850703,8715
1.595468816,8714
1.520241382,8713
1.020062754,8712
2.751227293,8711
1.565311612,8710
-0.084240727,8709
0.704492444,8708
-1.008160994,8707
-2.570790771,8706
-1.046420036,8705
-1.798968395,8704
-2.131131739,8703
0.462382078,8702
0.434805705,8701
0.227827889,8700
2.421246521,8699
1.594748396,8698
0.395508651,8697
1.597499124,8696
0.137936702,8695
-1.312561113,8694
0.013205261,8693
-1.093583348,8692
-1.783689549,8691
0.166847876,8690
-0.379367893,8689
-0.822678769,8688
1.13763704,8687
0.374392425,8686
-0.479507445,8685
1.104348931,8684
0.0250045,8683
-0.798658021,8682
0.910884063,8681
0.105039417,8680
-0.485867583,8679
1.308689138,8678
0.393140114,8677
-0.452116202,8676
0.997902836,8675
-0.373146767,8674
-1.559197208,8673
-0.169009438,8672
-1.295196023,8671
-1.840060215,8670
0.37015668,8669
-0.001919781,8668
-0.099210995,8667
2.252298154,8666
1.5162855,8665
0.780366725,8664
2.121475749,8663
0.329857764,8662
-1.122470701,8661
-0.234880207,8660
-1.867750653,8659
-2.743633862,8658
-0.774094061,8657
-1.215176582,8656
-1.046430074,8655
1.647480362,8654
1.330746437,8653
1.092417502,8652
2.844360067,8651
1.390248039,8650
0.052539164,8649
0.871936551,8648
-1.04190725,8647
-2.246563145,8646
-0.709591528,8645
-1.661036776,8644
-1.871725221,8643
0.542259664,8642
0.051184506,8641
0.033028424,8640
2.055395762,8639
0.987374116,8638
0.172688063,8637
1.448373116,8636
-0.090224286,8635
-0.969610708,8634
0.510310092,8633
-0.663498685,8632
-1.121974536,8631
0.71568329,8630
-0.261431771,8629
-0.729214849,8628
0.984996957,8627
-0.302028226,8626
-0.972951536,8625
0.628930536,8624
-0.556933567,8623
-0.946097819,8622
1.06373231,8621
0.259687372,8620
0.1183966,8619
2.00085691,8618
0.758123068,8617
-0.005076775,8616
1.113108718,8615
-0.640804787,8614
-1.745085771,8613
-0.454593356,8612
-1.871058716,8611
-2.022029833,8610
0.22761381,8609
-0.268426647,8608
0.184501019,8607
2.499966094,8606
1.577029166,8605
1.176569678,8604
2.399678326,8603
0.382248849,8602
-1.018357119,8601
-0.227435903,8600
-2.020463502,8599
-2.623036832,8598
-0.828407135,8597
-1.472037561,8596
-0.95087062,8595
1.555651485,8594
0.954535425,8593
1.086232281,8592
2.732753382,8591
1.081696443,8590
0.056060784,8589
1.045273413,8588
-0.973917922,8587
-1.745044644,8586
-0.321693887,8585
-1.487732833,8584
-1.467168155,8583
0.644182759,8582
-0.229983277,8581
-0.192469192,8580
1.660774219,8579
0.264577558,8578
-0.20622505,8577
1.196259781,8576
-0.354969844,8575
-0.667899969,8574
0.978758294,8573
-0.34965638,8572
-0.451272731,8571
1.256863545,8570
-0.227674725,8569
-0.592281053,8568
0.734573773,8567
-1.012652983,8566
-1.413720388,8565
0.054139026,8564
-1.167300793,8563
-1.009645662,8562
1.165286423,8561
0.321415913,8560
0.627392395,8559
2.442486381,8558
0.973961064,8557
0.408919764,8556
1.361137421,8555
-0.885640237,8554
-1.780933886,8553
-0.726577734,8552
-2.298722985,8551
-2.188291626,8550
0.064933191,8549
-0.501132653,8548
0.294524489,8547
2.548602787,8546
1.473878347,8545
1.356702704,8544
2.492059959,8543
0.235231408,8542
-0.74162651,8541
-0.033399518,8540
-2.063813114,8539
-2.36224455,8538
-0.608726364,8537
-1.579780577,8536
-0.89062126,8535
1.442622248,8534
0.570551606,8533
0.873507811,8532
2.399635776,8531
0.599650063,8530
0.100000042,8529
1.057227644,8528
